Ref,Val,Package,PosX,PosY,Rot,Side
LED50,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,60.000000,-135.300000,180.000000,bottom
LED51,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,78.000000,-135.300000,180.000000,bottom
LED52,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,96.000000,-132.550000,180.000000,bottom
LED53,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,114.000000,-130.425000,180.000000,bottom
LED54,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,132.000000,-132.550000,180.000000,bottom
LED55,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,150.000000,-134.675000,180.000000,bottom
LED60,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,87.000000,-152.800000,180.000000,bottom
LED61,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,105.000000,-151.675000,180.000000,bottom
LED62,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,123.000000,-151.675000,180.000000,bottom
LED63,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,143.908987,-153.196428,171.940000,bottom
LED64,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,160.633157,-156.551060,-109.630000,bottom
LED65,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,168.000000,-129.050000,180.000000,bottom
LED210,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,307.000000,-67.300000,180.000000,bottom
LED211,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,289.000000,-67.300000,180.000000,bottom
LED212,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,271.000000,-64.550000,180.000000,bottom
LED213,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,253.000000,-62.425000,180.000000,bottom
LED214,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,235.000000,-64.550000,180.000000,bottom
LED215,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,217.000000,-66.675000,180.000000,bottom
LED216,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,199.000000,-108.175000,180.000000,bottom
LED220,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,307.000000,-84.300000,180.000000,bottom
LED221,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,289.000000,-84.300000,180.000000,bottom
LED222,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,271.000000,-81.550000,180.000000,bottom
LED223,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,253.000000,-79.425000,180.000000,bottom
LED224,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,235.000000,-81.550000,180.000000,bottom
LED225,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,217.000000,-83.675000,180.000000,bottom
LED230,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,307.000000,-101.300000,180.000000,bottom
LED231,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,289.000000,-101.300000,180.000000,bottom
LED232,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,271.000000,-98.550000,180.000000,bottom
LED233,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,253.000000,-96.425000,180.000000,bottom
LED234,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,235.000000,-98.550000,180.000000,bottom
LED235,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,217.000000,-100.675000,180.000000,bottom
LED240,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,307.000000,-118.300000,180.000000,bottom
LED241,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,289.000000,-118.300000,180.000000,bottom
LED242,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,271.000000,-115.550000,180.000000,bottom
LED243,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,253.000000,-113.425000,180.000000,bottom
LED244,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,235.000000,-115.550000,180.000000,bottom
LED245,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,217.000000,-117.675000,180.000000,bottom
LED250,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,307.000000,-135.300000,180.000000,bottom
LED251,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,289.000000,-135.300000,180.000000,bottom
LED252,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,271.000000,-132.550000,180.000000,bottom
LED253,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,253.000000,-130.425000,180.000000,bottom
LED254,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,235.000000,-132.550000,180.000000,bottom
LED255,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,217.000000,-134.675000,180.000000,bottom
LED260,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,280.000000,-152.800000,180.000000,bottom
LED261,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,262.000000,-151.675000,180.000000,bottom
LED262,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,244.000000,-151.675000,180.000000,bottom
LED263,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,223.091013,-153.196428,-171.940000,bottom
LED264,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,206.366843,-156.551060,109.630000,bottom
LED265,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,199.000000,-129.050000,180.000000,bottom
R2,1kΩ,R_0402,165.000000,-91.000000,90.000000,bottom
R4,1kΩ,R_0402,177.600000,-84.400000,90.000000,bottom
R5,5.1kΩ,R_0402,166.000000,-72.750000,-90.000000,bottom
R6,5.1kΩ,R_0402,171.250000,-75.050000,0.000000,bottom
R7,27Ω,R_0402,165.340000,-76.080000,-90.000000,bottom
R8,27Ω,R_0402,164.390000,-76.080000,-90.000000,bottom
R10,10kΩ,R_0402,172.550000,-70.850000,90.000000,bottom
R11,10kΩ,R_0402,173.450000,-70.900000,-90.000000,bottom
R15,470Ω,R_0402,172.189250,-124.193269,135.000000,bottom
R16,120Ω,R_0402,164.100000,-94.500000,90.000000,bottom
R202,1kΩ,R_0402,192.500000,-78.500000,0.000000,bottom
R204,1kΩ,R_0402,206.500000,-91.250000,90.000000,bottom
R205,5.1kΩ,R_0402,201.000000,-72.750000,-90.000000,bottom
